id,star,name,name_link,cost,hp1,hpmax,atk1,atkmax,des,des_max,icon,img_link
11,3,Azoth剑,Azoth剑,5,200,1000,0,0,自身的防御力提升8%,自身的防御力提升10%[最大解放],https://fgo.wiki\images/2/2e/礼装011.jpg,https://fgo.wiki\images/d/d8/Azoth%E5%89%91.png
12,3,伪臣之书,伪臣之书,5,300,1500,0,0,自身的弱化状态耐性提升15%,自身的弱化状态耐性提升20%[最大解放],https://fgo.wiki\images/a/a0/礼装012.jpg,https://fgo.wiki\images/c/cb/%E4%BC%AA%E8%87%A3%E4%B9%8B%E4%B9%A6.png
13,3,青之黑键,青之黑键,5,0,0,200,1000,自身的Arts指令卡性能提升8%,自身的Arts指令卡性能提升10%[最大解放],https://fgo.wiki\images/f/f5/礼装013.jpg,https://fgo.wiki\images/0/0c/%E9%9D%92%E4%B9%8B%E9%BB%91%E9%94%AE.png
14,3,绿之黑键,绿之黑键,5,0,0,200,1000,自身的Quick指令卡性能提升8%,自身的Quick指令卡性能提升10%[最大解放],https://fgo.wiki\images/a/a5/礼装014.jpg,https://fgo.wiki\images/7/74/%E7%BB%BF%E4%B9%8B%E9%BB%91%E9%94%AE.png
15,3,赤之黑键,赤之黑键,5,0,0,200,1000,自身的Buster指令卡性能提升8%,自身的Buster指令卡性能提升10%[最大解放],https://fgo.wiki\images/1/1f/礼装015.jpg,https://fgo.wiki\images/2/29/%E8%B5%A4%E4%B9%8B%E9%BB%91%E9%94%AE.png
16,3,凛的吊坠,凛的吊坠,5,0,0,200,1000,自身的暴击威力增加15%,自身的暴击威力增加20%[最大解放],https://fgo.wiki\images/0/08/礼装016.jpg,https://fgo.wiki\images/9/9d/%E5%87%9B%E7%9A%84%E5%90%8A%E5%9D%A0.png
17,3,魔导书,魔导书,5,150,750,100,500,自身暴击星掉落率提升15%,自身暴击星掉落率提升20%[最大解放],https://fgo.wiki\images/f/f7/礼装017.jpg,https://fgo.wiki\images/9/97/%E9%AD%94%E5%AF%BC%E4%B9%A6.png
18,3,龙脉,龙脉,5,150,750,100,500,自身以NP已达30%的状态开始战斗,自身以NP已达50%的状态开始战斗[最大解放],https://fgo.wiki\images/f/fe/礼装018.jpg,https://fgo.wiki\images/8/8f/%E9%BE%99%E8%84%89.png
19,3,魔术矿石,魔术矿石,5,150,750,100,500,自身的NP获得量提升15%,自身的NP获得量提升20%[最大解放],https://fgo.wiki\images/e/e3/礼装019.jpg,https://fgo.wiki\images/b/b5/%E9%AD%94%E6%9C%AF%E7%9F%BF%E7%9F%B3_v2.png
20,3,龙种,龙种,5,0,0,200,1000,自身的宝具的威力提升15%,自身的宝具的威力提升20%[最大解放],https://fgo.wiki\images/4/4a/礼装020.jpg,https://fgo.wiki\images/a/a5/%E9%BE%99%E7%A7%8D.png
21,4,钢之锻炼,钢之锻炼,9,400,1500,0,0,自身的防御力提升15%,自身的防御力提升20%[最大解放],https://fgo.wiki\images/b/be/礼装021.jpg,https://fgo.wiki\images/e/e9/%E9%92%A2%E4%B9%8B%E9%94%BB%E7%82%BC.png
22,4,原始咒术,原始咒术,9,600,2250,0,0,自身的弱化状态耐性提升25%,自身的弱化状态耐性提升30%[最大解放],https://fgo.wiki\images/8/8f/礼装022.jpg,https://fgo.wiki\images/2/2c/%E5%8E%9F%E5%A7%8B%E5%92%92%E6%9C%AF.png
23,4,投影魔术,投影魔术,9,0,0,400,1500,自身的Arts指令卡性能提升15%,自身的Arts指令卡性能提升20%[最大解放],https://fgo.wiki\images/d/dd/礼装023.jpg,https://fgo.wiki\images/2/25/%E6%8A%95%E5%BD%B1%E9%AD%94%E6%9C%AF.png
24,4,Gandr,Gandr,9,0,0,400,1500,自身的Quick指令卡性能提升15%,自身的Quick指令卡性能提升20%[最大解放],https://fgo.wiki\images/1/13/礼装024.jpg,https://fgo.wiki\images/9/93/Gandr.png
25,4,绿之破音,绿之破音,9,0,0,400,1500,自身的Buster指令卡性能提升15%,自身的Buster指令卡性能提升20%[最大解放],https://fgo.wiki\images/1/10/礼装025.jpg,https://fgo.wiki\images/c/c0/%E7%BB%BF%E4%B9%8B%E7%A0%B4%E9%9F%B3.png
26,4,宝石魔术・对影,宝石魔术·对影,9,0,0,400,1500,自身的暴击威力提升25%,自身的暴击威力提升30%[最大解放],https://fgo.wiki\images/c/cd/礼装026.jpg,https://fgo.wiki\images/4/4d/%E5%AE%9D%E7%9F%B3%E9%AD%94%E6%9C%AF%C2%B7%E5%AF%B9%E5%BD%B1.png
27,4,秉持优雅,秉持优雅,9,300,1125,200,750,自身的暴击星掉落率提升25%,自身的暴击星掉落率提升30%[最大解放],https://fgo.wiki\images/1/19/礼装027.jpg,https://fgo.wiki\images/4/4f/%E7%A7%89%E6%8C%81%E4%BC%98%E9%9B%85.png
28,4,虚数魔术,虚数魔术,9,300,1125,200,750,自身以NP已达60%的状态开始战斗,自身以NP已达75%的状态开始战斗[最大解放],https://fgo.wiki\images/5/5b/礼装028.jpg,https://fgo.wiki\images/3/3b/%E8%99%9A%E6%95%B0%E9%AD%94%E6%9C%AF.png
29,4,天之晚餐,天之晚餐,9,300,1125,200,750,自身的NP获得量提升25%,自身的NP获得量提升30%[最大解放],https://fgo.wiki\images/3/35/礼装029.jpg,https://fgo.wiki\images/9/95/%E5%A4%A9%E4%B9%8B%E6%99%9A%E9%A4%90.png
30,4,天使之诗,天使之诗,9,0,0,400,1500,自身的宝具的威力提升25%,自身的宝具的威力提升30%[最大解放],https://fgo.wiki\images/1/1b/礼装030.jpg,https://fgo.wiki\images/0/05/%E5%A4%A9%E4%BD%BF%E4%B9%8B%E8%AF%97.png
31,5,元素转换,元素转换,12,0,0,500,2000,自身的Arts指令卡性能提升25%,自身的Arts指令卡性能提升30%[最大解放],https://fgo.wiki\images/7/7a/礼装031.jpg,https://fgo.wiki\images/8/89/%E5%85%83%E7%B4%A0%E8%BD%AC%E6%8D%A2.png
32,5,虚数环,虚数环,12,0,0,500,2000,自身的Quick指令卡性能提升25%,自身的Quick指令卡性能提升30%[最大解放],https://fgo.wiki\images/1/13/礼装032.jpg,https://fgo.wiki\images/8/87/%E8%99%9A%E6%95%B0%E7%8E%AF.png
33,5,限制-零毁,限制/零毁,12,0,0,500,2000,自身的Buster指令卡性能提升25%,自身的Buster指令卡性能提升30%[最大解放],https://fgo.wiki\images/4/42/礼装033.jpg,https://fgo.wiki\images/5/5f/%E9%99%90%E5%88%B6%E9%9B%B6%E6%AF%81.png
34,5,万华镜,万华镜,12,0,0,500,2000,自身以NP已达80%的状态开始战斗,自身以NP已达100%的状态开始战斗[最大解放],https://fgo.wiki\images/e/ed/礼装034.jpg,https://fgo.wiki\images/4/47/%E4%B8%87%E5%8D%8E%E9%95%9C.png
35,5,天之杯,天之杯,12,0,0,500,2000,自身的宝具的威力提升40%,自身的宝具的威力提升50%[最大解放],https://fgo.wiki\images/3/33/礼装035.jpg,https://fgo.wiki\images/7/7c/%E5%A4%A9%E4%B9%8B%E6%9D%AF.png
36,4,旅途的开始,旅途的开始,3,50,50,50,50,支援中获得的友情点+75,,https://fgo.wiki\images/f/f2/礼装036.jpg,https://fgo.wiki\images/9/93/%E6%97%85%E9%80%94%E7%9A%84%E5%BC%80%E5%A7%8B.png
37,3,芦苇海,芦苇海,5,300,1500,0,0,付与自身回避状态(1次)＆弱化状态耐性提升5%,付与自身回避状态(1次)＆弱化状态耐性提升10%[最大解放],https://fgo.wiki\images/3/3b/礼装037.jpg,https://fgo.wiki\images/9/9b/%E8%8A%A6%E8%8B%87%E6%B5%B7.png
38,4,封印指定 执行者,封印指定 执行者,9,0,0,400,1500,自身的暴击星集中度提升600%,自身的暴击星集中度提升800%[最大解放],https://fgo.wiki\images/f/f8/礼装038.jpg,https://fgo.wiki\images/4/41/%E5%B0%81%E5%8D%B0%E6%8C%87%E5%AE%9A_%E6%89%A7%E8%A1%8C%E8%80%85.png
39,4,抹大拉的圣骸布,抹大拉的圣骸布,9,400,1500,0,0,付与自身对〔男性〕25%的特防状态,付与自身对〔男性〕30%的特防状态[最大解放],https://fgo.wiki\images/0/02/礼装039.jpg,https://fgo.wiki\images/a/ab/%E6%8A%B9%E5%A4%A7%E6%8B%89%E7%9A%84%E5%9C%A3%E9%AA%B8%E5%B8%83.png
40,5,宇宙棱镜,宇宙棱镜,12,375,1500,250,1000,付与自身每回合NP增加8%的状态,付与自身每回合NP增加10%的状态[最大解放],https://fgo.wiki\images/a/a8/礼装040.jpg,https://fgo.wiki\images/d/dd/%E5%AE%87%E5%AE%99%E6%A3%B1%E9%95%9C.png
41,5,不夜蔷薇,不夜蔷薇,12,500,2000,0,0,付与自身毅力状态(1次·HP回复500),付与自身毅力状态(1次·HP回复1000)[最大解放],https://fgo.wiki\images/a/a1/礼装041.jpg,https://fgo.wiki\images/6/6f/%E4%B8%8D%E5%A4%9C%E8%94%B7%E8%96%87.png
42,3,Mooncell Automaton,Mooncell Automaton,5,0,0,200,1000,自身的Quick指令卡性能提升3%＆Arts指令卡性能提升3%＆Buster指令卡性能提升3%,自身的Quick指令卡性能提升5%＆Arts指令卡性能提升5%＆Buster指令卡性能提升5%[最大解放],https://fgo.wiki\images/4/4d/礼装042.jpg,https://fgo.wiki\images/c/c7/Mooncell_Automaton.png
43,4,月之宝石,月之宝石,9,600,2250,0,0,自身的魅惑耐性提升80%,自身的魅惑耐性提升100%[最大解放],https://fgo.wiki\images/b/b7/礼装043.jpg,https://fgo.wiki\images/1/13/%E6%9C%88%E4%B9%8B%E5%AE%9D%E7%9F%B3.png
44,5,月女神的沐浴,月女神的沐浴,12,500,2000,0,0,自身每回合HP回复500,自身每回合HP回复750[最大解放],https://fgo.wiki\images/2/21/礼装044.jpg,https://fgo.wiki\images/5/56/%E6%9C%88%E5%A5%B3%E7%A5%9E%E7%9A%84%E6%B2%90%E6%B5%B4.png
45,5,月光祝典,月光祝典,12,375,1500,250,1000,自身的暴击星掉落率与暴击威力提升15%,自身的暴击星掉落率与暴击威力提升20%[最大解放],https://fgo.wiki\images/3/37/礼装045.jpg,https://fgo.wiki\images/3/36/%E6%9C%88%E5%85%89%E7%A5%9D%E5%85%B8.png
46,3,符文石,符文石,5,150,750,100,500,自身的弱化状态耐性提升5%＆星集中度提升100%,自身的弱化状态耐性提升10%＆星集中度提升200%[最大解放],https://fgo.wiki\images/4/45/礼装046.jpg,https://fgo.wiki\images/8/84/%E7%AC%A6%E6%96%87%E7%9F%B3.png
47,4,一之太刀,一之太刀,9,0,0,400,1500,付与自身必中状态＆自身的Quick指令卡性能提升8%,付与自身必中状态＆自身的Quick指令卡性能提升10%[最大解放],https://fgo.wiki\images/b/bf/礼装047.jpg,https://fgo.wiki\images/4/4b/%E4%B8%80%E4%B9%8B%E5%A4%AA%E5%88%80.png
48,5,黑之圣杯,黑之圣杯,12,0,0,600,2400,自身的宝具的威力提升60%＆每回合HP减少500【负面效果】,自身的宝具的威力提升80%[最大解放]＆每回合HP减少500【负面效果】,https://fgo.wiki\images/5/50/礼装048.jpg,https://fgo.wiki\images/8/8f/%E9%BB%91%E4%B9%8B%E5%9C%A3%E6%9D%AF.png
49,3,南瓜杰克,南瓜杰克,5,0,0,200,1000,付与自己伤害附加100状态,付与自己伤害附加200状态[最大解放],https://fgo.wiki\images/b/b6/礼装049.jpg,https://fgo.wiki\images/3/31/%E5%8D%97%E7%93%9C%E6%9D%B0%E5%85%8B.png
50,3,不给糖就捣蛋,不给糖就捣蛋,5,150,750,100,500,自身的弱化状态成功率提升10%,自身的弱化状态成功率提升12%[最大解放],https://fgo.wiki\images/c/cc/礼装050.jpg,https://fgo.wiki\images/2/21/%E4%B8%8D%E7%BB%99%E7%B3%96%E5%B0%B1%E6%8D%A3%E8%9B%8B.png
51,4,万圣节筹备,万圣节筹备,9,600,2250,0,0,付与自身目标集中状态(1回合)＆自身防御力提升60%(1回合),付与自身目标集中状态(1回合)＆自身防御力提升80%(1回合)[最大解放],https://fgo.wiki\images/d/db/礼装051.jpg,https://fgo.wiki\images/d/df/%E4%B8%87%E5%9C%A3%E8%8A%82%E7%AD%B9%E5%A4%87.png
52,5,万圣节公主,万圣节公主,12,375,1500,250,1000,自身的宝具的威力提升15%＆以NP已达30%的状态开始战斗,自身的宝具的威力提升20%＆以NP已达50%的状态开始战斗[最大解放],https://fgo.wiki\images/0/0f/礼装052.jpg,https://fgo.wiki\images/2/2f/%E4%B8%87%E5%9C%A3%E8%8A%82%E5%85%AC%E4%B8%BB.png
53,5,万圣节小恶魔,万圣节小恶魔,12,0,0,500,2000,自身的NP获得量提升20%＆以NP已达50%的状态开始战斗,自身的NP获得量提升25%＆以NP已达60%的状态开始战斗[最大解放],https://fgo.wiki\images/4/4c/礼装053.jpg,https://fgo.wiki\images/e/e6/%E4%B8%87%E5%9C%A3%E8%8A%82%E5%B0%8F%E6%81%B6%E9%AD%94.png
54,5,万圣节女仆,万圣节女仆,12,750,3000,0,0,自身的HP回复量提升60%,自身的HP回复量提升75%[最大解放],https://fgo.wiki\images/5/5a/礼装054.jpg,https://fgo.wiki\images/8/89/%E4%B8%87%E5%9C%A3%E8%8A%82%E5%A5%B3%E4%BB%86.png
55,3,扬帆远航,扬帆远航,5,300,1500,0,0,自身每回合HP回复100,自身每回合HP回复200[最大解放],https://fgo.wiki\images/6/6b/礼装055.jpg,https://fgo.wiki\images/c/cb/%E6%89%AC%E5%B8%86%E8%BF%9C%E8%88%AA.png
56,4,指令咏唱,指令咏唱,9,300,1125,200,750,自身的攻击力与防御力提升25%(3回合),自身的攻击力与防御力提升30%(3回合)[最大解放],https://fgo.wiki\images/6/60/礼装056.jpg,https://fgo.wiki\images/0/02/%E6%8C%87%E4%BB%A4%E5%92%8F%E5%94%B1.png
57,5,月之胜利者,月之胜利者,12,0,0,600,2400,自身的Buster指令卡性能提升10%＆暴击威力提升20%,自身的Buster指令卡性能提升15%＆暴击威力提升25%[最大解放],https://fgo.wiki\images/4/46/礼装057.jpg,https://fgo.wiki\images/0/08/%E6%9C%88%E4%B9%8B%E8%83%9C%E5%88%A9%E8%80%85.png
58,5,另一个结局,另一个结局,12,0,0,600,2400,自身的Arts指令卡性能提升10%＆暴击威力提升20%,自身的Arts指令卡性能提升15%＆暴击威力提升25%[最大解放],https://fgo.wiki\images/3/33/礼装058.jpg,https://fgo.wiki\images/e/ea/%E5%8F%A6%E4%B8%80%E4%B8%AA%E7%BB%93%E5%B1%80.png
59,3,唠叨指定,唠叨指定,5,150,750,100,500,自身的Quick指令卡性能＆Arts指令卡性能＆Buster指令卡性能＆暴击星掉落率＆星集中度＆暴击威力＆NP获得量＆宝具威力＆弱化成功率＆弱化耐性＆HP回复量各提升1%,自身的Quick指令卡性能＆Arts指令卡性能＆Buster指令卡性能＆暴击星掉落率＆星集中度＆暴击威力＆NP获得量＆宝具威力＆弱化成功率＆弱化耐性＆HP回复量各提升2%[最大解放],https://fgo.wiki\images/0/02/礼装059.jpg,https://fgo.wiki\images/9/93/%E5%94%A0%E5%8F%A8%E6%8C%87%E5%AE%9A.png
60,4,庆功Order！,庆功Order！,9,0,0,400,1500,自身的Quick指令卡性能提升10%＆Buster指令卡性能提升10%,自身的Quick指令卡性能提升15%＆Buster指令卡性能提升15%[最大解放],https://fgo.wiki\images/e/ec/礼装060.jpg,https://fgo.wiki\images/b/ba/%E5%BA%86%E5%8A%9FOrder%EF%BC%81.png
61,5,唠叨哦,唠叨哦,12,0,0,500,2000,自身的暴击威力提升15%＆宝具威力提升15%,自身的暴击威力提升20%＆宝具威力提升20%[最大解放],https://fgo.wiki\images/8/80/礼装061.jpg,https://fgo.wiki\images/0/0d/%E5%94%A0%E5%8F%A8%E5%93%A6-%E6%97%A5%E6%9C%8D.png
62,5,唠唠叨叨看板娘,唠唠叨叨看板娘,12,750,3000,0,0,付与自身目标集中状态(3回合)＆攻击力提升60%(3回合),付与自身目标集中状态(3回合)＆攻击力提升80%(3回合)[最大解放],https://fgo.wiki\images/b/b2/礼装062.jpg,https://fgo.wiki\images/3/3a/%E5%94%A0%E5%94%A0%E5%8F%A8%E5%8F%A8%E7%9C%8B%E6%9D%BF%E5%A8%98.png
63,3,概念礼装EXP卡：冲太,概念礼装EXP卡：冲太,5,0,0,0,0,提供18000点概念礼装经验值,无效果,https://fgo.wiki\images/4/4a/礼装063.jpg,https://fgo.wiki\images/c/c5/%E6%A6%82%E5%BF%B5%E7%A4%BC%E8%A3%85EXP%E5%8D%A1%EF%BC%9A%E5%86%B2%E5%A4%AA.png
64,4,概念礼装EXP卡：信,概念礼装EXP卡：信,9,0,0,0,0,提供30000点概念礼装经验值,无效果,https://fgo.wiki\images/b/b0/礼装064.jpg,https://fgo.wiki\images/f/f8/%E6%A6%82%E5%BF%B5%E7%A4%BC%E8%A3%85EXP%E5%8D%A1%EF%BC%9A%E4%BF%A1.png
65,3,魔猪,魔猪,5,0,0,200,1000,自身的Quick指令卡性能提升15%(3回合),自身的Quick指令卡性能提升20%(3回合)[最大解放],https://fgo.wiki\images/a/a8/礼装065.jpg,https://fgo.wiki\images/c/c5/%E9%AD%94%E7%8C%AA.png
66,4,骑士的矜持,骑士的矜持,9,300,1125,200,750,自身的暴击威力提升40%＆防御力下降20%【负面效果】,自身的暴击威力提升50%[最大解放]＆防御力下降20%【负面效果】,https://fgo.wiki\images/8/8a/礼装066.jpg,https://fgo.wiki\images/7/71/%E9%AA%91%E5%A3%AB%E7%9A%84%E7%9F%9C%E6%8C%81.png
67,5,2030年的碎片,2030年的碎片,12,750,3000,0,0,付与自身每回合获得8个暴击星的状态,付与自身每回合获得10个暴击星的状态[最大解放],https://fgo.wiki\images/b/b7/礼装067.jpg,https://fgo.wiki\images/0/09/2030%E5%B9%B4%E7%9A%84%E7%A2%8E%E7%89%87.png
68,3,雷光之驯鹿,雷光之驯鹿,5,0,0,200,1000,自身的Buster指令卡性能提升15%(3回合),自身的Buster指令卡性能提升20%(3回合)[最大解放],https://fgo.wiki\images/5/58/礼装068.jpg,https://fgo.wiki\images/3/3e/%E9%9B%B7%E5%85%89%E4%B9%8B%E9%A9%AF%E9%B9%BF.png
69,4,圣者的行进,圣者的行进,9,600,2250,0,0,付与自身每回合HP回复200的状态＆每回合NP获得3%的状态,付与自身每回合HP回复300的状态＆每回合NP获得4%的状态[最大解放],https://fgo.wiki\images/3/38/礼装069.jpg,https://fgo.wiki\images/7/75/%E5%9C%A3%E8%80%85%E7%9A%84%E8%A1%8C%E8%BF%9B.png
70,5,献给我的御主的礼物,献给我的御主的礼物,12,750,3000,0,0,自身的暴击星集中度提升100%＆回复量提升40%,自身的暴击星集中度提升200%＆回复量提升50%[最大解放],https://fgo.wiki\images/c/cf/礼装070.jpg,https://fgo.wiki\images/0/09/%E7%8C%AE%E7%BB%99%E6%88%91%E7%9A%84%E5%BE%A1%E4%B8%BB%E7%9A%84%E7%A4%BC%E7%89%A9.png
71,5,圣夜之印,圣夜之印,12,375,1500,250,1000,自身的Quick指令卡性能提升8%＆暴击威力提升15%,自身的Quick指令卡性能提升10%＆暴击威力提升20%[最大解放],https://fgo.wiki\images/5/50/礼装071.jpg,https://fgo.wiki\images/c/c0/%E5%9C%A3%E5%A4%9C%E4%B9%8B%E5%8D%B0.png
72,3,时钟塔,时钟塔,5,300,1500,0,0,付与自身每回合NP获得2%的状态,付与自身每回合NP获得3%的状态[最大解放],https://fgo.wiki\images/d/d2/礼装072.jpg,https://fgo.wiki\images/f/f5/%E6%97%B6%E9%92%9F%E5%A1%94.png
73,4,死灵魔术,死灵魔术,9,600,2250,0,0,自身HP为0时一定概率发动毅力状态(HP回复500),自身HP为0时一定概率发动毅力状态(HP回复1000)[最大解放],https://fgo.wiki\images/7/7f/礼装073.jpg,https://fgo.wiki\images/7/75/%E6%AD%BB%E7%81%B5%E9%AD%94%E6%9C%AF.png
74,4,觉醒的意志,觉醒的意志,9,300,1125,200,750,付与自身每回合一定概率NP获得12%的状态＆每回合HP减少500的状态【负面效果】,付与自身每回合一定概率NP获得15%的状态[最大解放]＆每回合HP减少500的状态【负面效果】,https://fgo.wiki\images/7/75/礼装074.jpg,https://fgo.wiki\images/9/94/%E8%A7%89%E9%86%92%E7%9A%84%E6%84%8F%E5%BF%97.png
75,5,五百年的执着,五百年的执着,12,0,0,600,2400,自身战败退场时付与敌方宝具封印状态(2回合)以及诅咒状态(1000伤害·10回合),自身战败退场时付与敌方宝具封印状态(2回合)以及诅咒状态(2000伤害·10回合)[最大解放],https://fgo.wiki\images/a/aa/礼装075.jpg,https://fgo.wiki\images/c/cd/%E4%BA%94%E7%99%BE%E5%B9%B4%E7%9A%84%E6%89%A7%E7%9D%80.png
76,3,2016年的平稳,2016年的平稳,5,300,1500,0,0,付与自身每回合HP回复200状态＆攻击力下降10%【负面效果】,付与自身每回合HP回复300状态[最大解放]＆攻击力下降10%【负面效果】,https://fgo.wiki\images/1/1e/礼装076.jpg,https://fgo.wiki\images/6/6b/2016%E5%B9%B4%E7%9A%84%E5%B9%B3%E7%A8%B3-v2.png
77,4,主人公的新年,主人公的新年,9,320,1200,200,750,付与自身弱化无效状态(1次)＆防御力提升8%,付与自身弱化无效状态(1次)＆防御力提升10%[最大解放],https://fgo.wiki\images/3/3b/礼装077.jpg,https://fgo.wiki\images/5/5e/%E4%B8%BB%E4%BA%BA%E5%85%AC%E7%9A%84%E6%96%B0%E5%B9%B4.png
78,3,雨林规则,雨林规则,5,0,0,200,1000,关卡通关时获得的QP增加2015,关卡通关时获得的QP增加2016[最大解放],https://fgo.wiki\images/6/6f/礼装078.jpg,https://fgo.wiki\images/8/81/%E9%9B%A8%E6%9E%97%E8%A7%84%E5%88%99.png
79,5,Grand New Year,Grand New Year,12,750,3000,0,0,付与自身目标集中状态(1回合)＆无敌状态(1回合)＆弱化状态耐性提升10%,付与自身目标集中状态(1回合)＆无敌状态(1回合)＆弱化状态耐性提升20%[最大解放],https://fgo.wiki\images/c/c4/礼装079.jpg,https://fgo.wiki\images/e/ec/Grand_New_Year.png
80,5,蒙娜丽莎,蒙娜丽莎,12,400,1600,250,1000,战斗中掉落的QP量增加2%,战斗中掉落的QP量增加10%[最大解放],https://fgo.wiki\images/c/cb/礼装080.jpg,https://fgo.wiki\images/c/cd/%E8%92%99%E5%A8%9C%E4%B8%BD%E8%8E%8E.png
81,4,Happy x 3 Order,Happy×3 Order,3,2016,2016,0,0,付与自身每回合获得一个暴击星的状态,,https://fgo.wiki\images/5/57/礼装081.jpg,https://fgo.wiki\images/e/ee/Happy%C3%973_Order.png
82,5,纯洁绽放,纯洁绽放,12,0,0,500,2000,自身的宝具威力每回合提升5%(最大40%),自身的宝具威力每回合提升5%(最大50%)[最大解放],https://fgo.wiki\images/c/c9/礼装082.jpg,https://fgo.wiki\images/2/24/%E7%BA%AF%E6%B4%81%E7%BB%BD%E6%94%BE.png
83,5,阿尔托莉雅之星,阿尔托莉雅之星,12,0,0,500,2000,付与自身毅力状态(1次·HP回复1)＆弱化状态耐性提升5%,付与自身毅力状态(1次·HP回复1)＆弱化状态耐性提升10%[最大解放],https://fgo.wiki\images/e/e0/礼装083.jpg,https://fgo.wiki\images/a/ad/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%E4%B9%8B%E6%98%9F.png
84,3,正射必中,正射必中,5,0,0,200,1000,付与自身必中状态＆暴击威力提升3%,付与自身必中状态＆暴击威力提升5%[最大解放],https://fgo.wiki\images/f/f9/礼装084.jpg,https://fgo.wiki\images/d/d9/%E6%AD%A3%E5%B0%84%E5%BF%85%E4%B8%AD.png
85,4,巫女狐！新娘修炼,巫女狐！新娘修炼,9,600,2250,0,0,付与自身每回合有概率HP回复750的状态,付与自身每回合有概率HP回复1000的状态[最大解放],https://fgo.wiki\images/2/23/礼装085.jpg,https://fgo.wiki\images/9/99/%E5%B7%AB%E5%A5%B3%E7%8B%90%EF%BC%81%E6%96%B0%E5%A8%98%E4%BF%AE%E7%82%BC.png
86,5,化为红莲的影之国,化为红莲的影之国,12,400,1600,250,1000,付与自身伤害附加状态(每回合+100·最大+1000),付与自身伤害附加状态(每回合+100·最大+1200)[最大解放],https://fgo.wiki\images/7/7d/礼装086.jpg,https://fgo.wiki\images/e/e6/%E5%8C%96%E4%B8%BA%E7%BA%A2%E8%8E%B2%E7%9A%84%E5%BD%B1%E4%B9%8B%E5%9B%BD.png
87,4,概念礼装EXP卡：谜之物质α,概念礼装EXP卡：谜之物质α,9,0,0,0,0,提供30000点概念礼装经验值,无效果,https://fgo.wiki\images/7/75/礼装087.jpg,https://fgo.wiki\images/9/92/%E6%A6%82%E5%BF%B5%E7%A4%BC%E8%A3%85EXP%E5%8D%A1%EF%BC%9A%E8%B0%9C%E4%B9%8B%E7%89%A9%E8%B4%A8%CE%B1.png
88,3,概念礼装EXP卡：谜之物质β,概念礼装EXP卡：谜之物质β,5,0,0,0,0,提供18000点概念礼装经验值,无效果,https://fgo.wiki\images/5/5c/礼装088.jpg,https://fgo.wiki\images/d/d3/%E6%A6%82%E5%BF%B5%E7%A4%BC%E8%A3%85EXP%E5%8D%A1%EF%BC%9A%E8%B0%9C%E4%B9%8B%E7%89%A9%E8%B4%A8%CE%B2.png
