id,star,star_str,name,name_link,name_other,cost,hp1,hpmax,atk1,atkmax,des,des_max,icon,icon_eff,type_marker,stars_marker,stats_marker,sort_atk,sort_hp
20,3,★★★,龙种,龙种,,5,0,0,200,1000,自身的宝具的威力提升15%,自身的宝具的威力提升20%[最大解放],/images/4/4a/礼装020.jpg,/images/d/d9/宝具威力提升.png,64,8,4,1060,327
21,4,★★★★,钢之锻炼,钢之锻炼,,9,400,1500,0,0,自身的防御力提升15%,自身的防御力提升20%[最大解放],/images/b/be/礼装021.jpg,/images/3/32/加防.png,64,16,2,5,1133
22,4,★★★★,原始咒术,原始咒术,,9,600,2250,0,0,自身的弱化状态耐性提升25%,自身的弱化状态耐性提升30%[最大解放],/images/8/8f/礼装022.jpg,/images/6/6c/弱化耐性提升.png,64,16,2,6,1249
23,4,★★★★,投影魔术,投影魔术,,9,0,0,400,1500,自身的Arts指令卡性能提升15%,自身的Arts指令卡性能提升20%[最大解放],/images/d/dd/礼装023.jpg,/images/0/03/蓝放.png,64,16,4,1179,378
24,4,★★★★,Gandr,Gandr,,9,0,0,400,1500,自身的Quick指令卡性能提升15%,自身的Quick指令卡性能提升20%[最大解放],/images/1/13/礼装024.jpg,/images/4/45/绿放.png,64,16,4,1180,379
25,4,★★★★,绿之破音,绿之破音,,9,0,0,400,1500,自身的Buster指令卡性能提升15%,自身的Buster指令卡性能提升20%[最大解放],/images/1/10/礼装025.jpg,/images/4/42/红放.png,64,16,4,1181,380
26,4,★★★★,宝石魔术・对影,宝石魔术·对影,,9,0,0,400,1500,自身的暴击威力提升25%,自身的暴击威力提升30%[最大解放],/images/c/cd/礼装026.jpg,/images/d/db/暴击威力提升.png,64,16,4,1182,381
27,4,★★★★,秉持优雅,秉持优雅,,9,300,1125,200,750,自身的暴击星掉落率提升25%,自身的暴击星掉落率提升30%[最大解放],/images/1/19/礼装027.jpg,/images/6/63/掉星率增加.png,64,16,8,995,1071
28,4,★★★★,虚数魔术,虚数魔术,,9,300,1125,200,750,自身以NP已达60%的状态开始战斗,自身以NP已达75%的状态开始战斗[最大解放],/images/5/5b/礼装028.jpg,/images/1/14/充能.png,64,16,8,996,1072
29,4,★★★★,天之晚餐,天之晚餐,,9,300,1125,200,750,自身的NP获得量提升25%,自身的NP获得量提升30%[最大解放],/images/3/35/礼装029.jpg,/images/4/42/NP获得量提升.png,64,16,8,997,1073
30,4,★★★★,天使之诗,天使之诗,,9,0,0,400,1500,自身的宝具的威力提升25%,自身的宝具的威力提升30%[最大解放],/images/1/1b/礼装030.jpg,/images/d/d9/宝具威力提升.png,64,16,4,1183,382
31,5,★★★★★,元素转换,元素转换,,12,0,0,500,2000,自身的Arts指令卡性能提升25%,自身的Arts指令卡性能提升30%[最大解放],/images/7/7a/礼装031.jpg,/images/0/03/蓝放.png,64,32,4,1211,410
32,5,★★★★★,虚数环,虚数环,,12,0,0,500,2000,自身的Quick指令卡性能提升25%,自身的Quick指令卡性能提升30%[最大解放],/images/1/13/礼装032.jpg,/images/4/45/绿放.png,64,32,4,1212,411
33,5,★★★★★,限制/零毁,限制/零毁,,12,0,0,500,2000,自身的Buster指令卡性能提升25%,自身的Buster指令卡性能提升30%[最大解放],/images/4/42/礼装033.jpg,/images/4/42/红放.png,64,32,4,1213,412
34,5,★★★★★,万华镜,万华镜,宝石翁,12,0,0,500,2000,自身以NP已达80%的状态开始战斗,自身以NP已达100%的状态开始战斗[最大解放],/images/e/ed/礼装034.jpg,/images/1/14/充能.png,64,32,4,1214,413
35,5,★★★★★,天之杯,天之杯,,12,0,0,500,2000,自身的宝具的威力提升40%,自身的宝具的威力提升50%[最大解放],/images/3/33/礼装035.jpg,/images/d/d9/宝具威力提升.png,64,32,4,1215,414
36,4,★★★★,旅途的开始,旅途的开始,,3,50,50,50,50,支援中获得的友情点+75,,/images/f/f2/礼装036.jpg,/images/b/b3/经验增加.png,16,16,8,415,494
37,3,★★★,芦苇海,芦苇海,,5,300,1500,0,0,付与自身回避状态(1次)＆弱化状态耐性提升5%,付与自身回避状态(1次)＆弱化状态耐性提升10%[最大解放],/images/3/3b/礼装037.jpg,/images/3/3e/回避.png,64,8,2,7,1134
38,4,★★★★,封印指定 执行者,封印指定 执行者,,9,0,0,400,1500,自身的暴击星集中度提升600%,自身的暴击星集中度提升800%[最大解放],/images/f/f8/礼装038.jpg,/images/7/7a/集星.png,64,16,4,1184,383
39,4,★★★★,抹大拉的圣骸布,抹大拉的圣骸布,,9,400,1500,0,0,付与自身对〔男性〕25%的特防状态,付与自身对〔男性〕30%的特防状态[最大解放],/images/0/02/礼装039.jpg,/images/3/32/加防.png,64,16,2,8,1135
40,5,★★★★★,宇宙棱镜,宇宙棱镜,,12,375,1500,250,1000,付与自身每回合NP增加8%的状态,付与自身每回合NP增加10%的状态[最大解放],/images/a/a8/礼装040.jpg,/images/e/e2/回合充能.png,64,32,8,1061,1174
41,5,★★★★★,不夜蔷薇,不夜蔷薇,,12,500,2000,0,0,付与自身毅力状态(1次·HP回复500),付与自身毅力状态(1次·HP回复1000)[最大解放],/images/a/a1/礼装041.jpg,/images/3/3a/毅力.png,128,32,2,9,1242
42,3,★★★,Mooncell Automaton,Mooncell Automaton,,5,0,0,200,1000,自身的Quick指令卡性能提升3%＆Arts指令卡性能提升3%＆Buster指令卡性能提升3%,自身的Quick指令卡性能提升5%＆Arts指令卡性能提升5%＆Buster指令卡性能提升5%[最大解放],/images/4/4d/礼装042.jpg,/images/e/e7/三色魔放.png,65,8,4,1062,328
43,4,★★★★,月之宝石,月之宝石,,9,600,2250,0,0,自身的魅惑耐性提升80%,自身的魅惑耐性提升100%[最大解放],/images/b/b7/礼装043.jpg,/images/6/6c/弱化耐性提升.png,257,16,2,10,1250
44,5,★★★★★,月女神的沐浴,月女神的沐浴,,12,500,2000,0,0,自身每回合HP回复500,自身每回合HP回复750[最大解放],/images/2/21/礼装044.jpg,/images/b/bc/每回合回复.png,257,32,2,11,1243
45,5,★★★★★,月光祝典,月光祝典,,12,375,1500,250,1000,自身的暴击星掉落率与暴击威力提升15%,自身的暴击星掉落率与暴击威力提升20%[最大解放],/images/3/37/礼装045.jpg,/images/6/63/掉星率增加.png,129,32,8,1063,1175
46,3,★★★,符文石,符文石,,5,150,750,100,500,自身的弱化状态耐性提升5%＆星集中度提升100%,自身的弱化状态耐性提升10%＆星集中度提升200%[最大解放],/images/4/45/礼装046.jpg,/images/6/6c/弱化耐性提升.png,64,8,8,953,1040
47,4,★★★★,一之太刀,一之太刀,,9,0,0,400,1500,付与自身必中状态＆自身的Quick指令卡性能提升8%,付与自身必中状态＆自身的Quick指令卡性能提升10%[最大解放],/images/b/bf/礼装047.jpg,/images/9/90/必中.png,64,16,4,1185,384
48,5,★★★★★,黑之圣杯,黑之圣杯,,12,0,0,600,2400,自身的宝具的威力提升60%＆每回合HP减少500【负面效果】,自身的宝具的威力提升80%[最大解放]＆每回合HP减少500【负面效果】,/images/5/50/礼装048.jpg,/images/d/d9/宝具威力提升.png,64,32,4,1291,490
49,3,★★★,南瓜杰克,南瓜杰克,,5,0,0,200,1000,付与自己伤害附加100状态,付与自己伤害附加200状态[最大解放],/images/b/b6/礼装049.jpg,/images/3/3a/特攻.png,257,8,4,1064,329
50,3,★★★,不给糖就捣蛋,不给糖就捣蛋,,5,150,750,100,500,自身的弱化状态成功率提升10%,自身的弱化状态成功率提升12%[最大解放],/images/c/cc/礼装050.jpg,/images/6/69/弱化成功率提升.png,129,8,8,954,1041
51,4,★★★★,万圣节筹备,万圣节筹备,,9,600,2250,0,0,付与自身目标集中状态(1回合)＆自身防御力提升60%(1回合),付与自身目标集中状态(1回合)＆自身防御力提升80%(1回合)[最大解放],/images/d/db/礼装051.jpg,/images/c/c7/目标集中.png,257,16,2,12,1251
52,5,★★★★★,万圣节公主,万圣节公主,,12,375,1500,250,1000,自身的宝具的威力提升15%＆以NP已达30%的状态开始战斗,自身的宝具的威力提升20%＆以NP已达50%的状态开始战斗[最大解放],/images/0/0f/礼装052.jpg,/images/d/d9/宝具威力提升.png,129,32,8,1065,1176
53,5,★★★★★,万圣节小恶魔,万圣节小恶魔,,12,0,0,500,2000,自身的NP获得量提升20%＆以NP已达50%的状态开始战斗,自身的NP获得量提升25%＆以NP已达60%的状态开始战斗[最大解放],/images/4/4c/礼装053.jpg,/images/4/42/NP获得量提升.png,257,32,4,1216,415
54,5,★★★★★,万圣节女仆,万圣节女仆,,12,750,3000,0,0,自身的HP回复量提升60%,自身的HP回复量提升75%[最大解放],/images/5/5a/礼装054.jpg,/images/4/4e/回血.png,129,32,2,13,1272
55,3,★★★,扬帆远航,扬帆远航,,5,300,1500,0,0,自身每回合HP回复100,自身每回合HP回复200[最大解放],/images/6/6b/礼装055.jpg,/images/b/bc/每回合回复.png,64,8,2,14,1136
56,4,★★★★,指令咏唱,指令咏唱,,9,300,1125,200,750,自身的攻击力与防御力提升25%(3回合),自身的攻击力与防御力提升30%(3回合)[最大解放],/images/6/60/礼装056.jpg,/images/5/51/加攻加防.png,64,16,8,998,1074
57,5,★★★★★,月之胜利者,月之胜利者,,12,0,0,600,2400,自身的Buster指令卡性能提升10%＆暴击威力提升20%,自身的Buster指令卡性能提升15%＆暴击威力提升25%[最大解放],/images/4/46/礼装057.jpg,/images/4/42/红放.png,64,32,4,1292,491
58,5,★★★★★,另一个结局,另一个结局,,12,0,0,600,2400,自身的Arts指令卡性能提升10%＆暴击威力提升20%,自身的Arts指令卡性能提升15%＆暴击威力提升25%[最大解放],/images/3/33/礼装058.jpg,/images/0/03/蓝放.png,64,32,4,1293,492
59,3,★★★,唠叨指定,唠叨指定,,5,150,750,100,500,自身的Quick指令卡性能＆Arts指令卡性能＆Buster指令卡性能＆暴击星掉落率＆星集中度＆暴击威力＆NP获得量＆宝具威力＆弱化成功率＆弱化耐性＆HP回复量各提升1%,自身的Quick指令卡性能＆Arts指令卡性能＆Buster指令卡性能＆暴击星掉落率＆星集中度＆暴击威力＆NP获得量＆宝具威力＆弱化成功率＆弱化耐性＆HP回复量各提升2%[最大解放],/images/0/02/礼装059.jpg,/images/e/e7/三色魔放.png,257,8,8,955,1042
60,4,★★★★,庆功Order！,庆功Order！,,9,0,0,400,1500,自身的Quick指令卡性能提升10%＆Buster指令卡性能提升10%,自身的Quick指令卡性能提升15%＆Buster指令卡性能提升15%[最大解放],/images/e/ec/礼装060.jpg,/images/1/11/红绿放.png,257,16,4,1186,385
61,5,★★★★★,唠叨哦,唠叨哦,,12,0,0,500,2000,自身的暴击威力提升15%＆宝具威力提升15%,自身的暴击威力提升20%＆宝具威力提升20%[最大解放],/images/8/80/礼装061.jpg,/images/3/3a/特攻.png,129,32,4,1217,416
62,5,★★★★★,唠唠叨叨看板娘,唠唠叨叨看板娘,,12,750,3000,0,0,付与自身目标集中状态(3回合)＆攻击力提升60%(3回合),付与自身目标集中状态(3回合)＆攻击力提升80%(3回合)[最大解放],/images/b/b2/礼装062.jpg,/images/c/c7/目标集中.png,257,32,2,15,1273
63,3,★★★,概念礼装EXP卡：冲太,概念礼装EXP卡：冲太,,5,0,0,0,0,提供18000点概念礼装经验值,无效果,/images/4/4a/礼装063.jpg,/images/d/d7/空白效果.png,32,8,1,16,1
64,4,★★★★,概念礼装EXP卡：信,概念礼装EXP卡：信,,9,0,0,0,0,提供30000点概念礼装经验值,无效果,/images/b/b0/礼装064.jpg,/images/d/d7/空白效果.png,32,16,1,17,2
65,3,★★★,魔猪,魔猪,,5,0,0,200,1000,自身的Quick指令卡性能提升15%(3回合),自身的Quick指令卡性能提升20%(3回合)[最大解放],/images/a/a8/礼装065.jpg,/images/4/45/绿放.png,64,8,4,1066,330
66,4,★★★★,骑士的矜持,骑士的矜持,,9,300,1125,200,750,自身的暴击威力提升40%＆防御力下降20%【负面效果】,自身的暴击威力提升50%[最大解放]＆防御力下降20%【负面效果】,/images/8/8a/礼装066.jpg,/images/d/db/暴击威力提升.png,64,16,8,999,1075
67,5,★★★★★,2030年的碎片,2030年的碎片,,12,750,3000,0,0,付与自身每回合获得8个暴击星的状态,付与自身每回合获得10个暴击星的状态[最大解放],/images/b/b7/礼装067.jpg,/images/f/f7/回合出星.png,64,32,2,18,1274
68,3,★★★,雷光之驯鹿,雷光之驯鹿,,5,0,0,200,1000,自身的Buster指令卡性能提升15%(3回合),自身的Buster指令卡性能提升20%(3回合)[最大解放],/images/5/58/礼装068.jpg,/images/4/42/红放.png,257,8,4,1067,331
69,4,★★★★,圣者的行进,圣者的行进,,9,600,2250,0,0,付与自身每回合HP回复200的状态＆每回合NP获得3%的状态,付与自身每回合HP回复300的状态＆每回合NP获得4%的状态[最大解放],/images/3/38/礼装069.jpg,/images/b/bc/每回合回复.png,257,16,2,19,1252
70,5,★★★★★,献给我的御主的礼物,献给我的御主的礼物,,12,750,3000,0,0,自身的暴击星集中度提升100%＆回复量提升40%,自身的暴击星集中度提升200%＆回复量提升50%[最大解放],/images/c/cf/礼装070.jpg,/images/7/7a/集星.png,257,32,2,20,1275
71,5,★★★★★,圣夜之印,圣夜之印,,12,375,1500,250,1000,自身的Quick指令卡性能提升8%＆暴击威力提升15%,自身的Quick指令卡性能提升10%＆暴击威力提升20%[最大解放],/images/5/50/礼装071.jpg,/images/4/45/绿放.png,129,32,8,1068,1177
72,3,★★★,时钟塔,时钟塔,,5,300,1500,0,0,付与自身每回合NP获得2%的状态,付与自身每回合NP获得3%的状态[最大解放],/images/d/d2/礼装072.jpg,/images/e/e2/回合充能.png,64,8,2,21,1137
73,4,★★★★,死灵魔术,死灵魔术,,9,600,2250,0,0,自身HP为0时一定概率发动毅力状态(HP回复500),自身HP为0时一定概率发动毅力状态(HP回复1000)[最大解放],/images/7/7f/礼装073.jpg,/images/3/3a/毅力.png,64,16,2,22,1253
74,4,★★★★,觉醒的意志,觉醒的意志,,9,300,1125,200,750,付与自身每回合一定概率NP获得12%的状态＆每回合HP减少500的状态【负面效果】,付与自身每回合一定概率NP获得15%的状态[最大解放]＆每回合HP减少500的状态【负面效果】,/images/7/75/礼装074.jpg,/images/e/e2/回合充能.png,64,16,8,1000,1076
75,5,★★★★★,五百年的执着,五百年的执着,,12,0,0,600,2400,自身战败退场时付与敌方宝具封印状态(2回合)以及诅咒状态(1000伤害·10回合),自身战败退场时付与敌方宝具封印状态(2回合)以及诅咒状态(2000伤害·10回合)[最大解放],/images/a/aa/礼装075.jpg,/images/b/bf/封印.png,64,32,4,1294,493
76,3,★★★,2016年的平稳,2016年的平稳,,5,300,1500,0,0,付与自身每回合HP回复200状态＆攻击力下降10%【负面效果】,付与自身每回合HP回复300状态[最大解放]＆攻击力下降10%【负面效果】,/images/1/1e/礼装076.jpg,/images/b/bc/每回合回复.png,256,8,2,23,1138
77,4,★★★★,主人公的新年,主人公的新年,,9,320,1200,200,750,付与自身弱化无效状态(1次)＆防御力提升8%,付与自身弱化无效状态(1次)＆防御力提升10%[最大解放],/images/3/3b/礼装077.jpg,/images/6/6c/弱化耐性提升.png,256,16,8,1001,1077
78,3,★★★,雨林规则,雨林规则,,5,0,0,200,1000,关卡通关时获得的QP增加2015,关卡通关时获得的QP增加2016[最大解放],/images/6/6f/礼装078.jpg,/images/d/d1/QP掉落.png,256,8,4,1069,332
79,5,★★★★★,Grand New Year,Grand New Year,,12,750,3000,0,0,付与自身目标集中状态(1回合)＆无敌状态(1回合)＆弱化状态耐性提升10%,付与自身目标集中状态(1回合)＆无敌状态(1回合)＆弱化状态耐性提升20%[最大解放],/images/c/c4/礼装079.jpg,/images/6/6b/无敌.png,256,32,2,24,1276
80,5,★★★★★,蒙娜丽莎,蒙娜丽莎,,12,400,1600,250,1000,战斗中掉落的QP量增加2%,战斗中掉落的QP量增加10%[最大解放],/images/c/cb/礼装080.jpg,/images/d/d1/QP掉落.png,2,32,8,1070,1178
81,4,★★★★,Happy x 3 Order,Happy×3 Order,,3,2016,2016,0,0,付与自身每回合获得一个暴击星的状态,,/images/5/57/礼装081.jpg,/images/f/f7/回合出星.png,16,16,2,25,1244
82,5,★★★★★,纯洁绽放,纯洁绽放,,12,0,0,500,2000,自身的宝具威力每回合提升5%(最大40%),自身的宝具威力每回合提升5%(最大50%)[最大解放],/images/c/c9/礼装082.jpg,/images/d/d9/宝具威力提升.png,129,32,4,1218,417
83,5,★★★★★,阿尔托莉雅之星,阿尔托莉雅之星,,12,0,0,500,2000,付与自身毅力状态(1次·HP回复1)＆弱化状态耐性提升5%,付与自身毅力状态(1次·HP回复1)＆弱化状态耐性提升10%[最大解放],/images/e/e0/礼装083.jpg,/images/3/3a/毅力.png,129,32,4,1219,418
84,3,★★★,正射必中,正射必中,,5,0,0,200,1000,付与自身必中状态＆暴击威力提升3%,付与自身必中状态＆暴击威力提升5%[最大解放],/images/f/f9/礼装084.jpg,/images/9/90/必中.png,257,8,4,1071,333
85,4,★★★★,巫女狐！新娘修炼,巫女狐！新娘修炼,,9,600,2250,0,0,付与自身每回合有概率HP回复750的状态,付与自身每回合有概率HP回复1000的状态[最大解放],/images/2/23/礼装085.jpg,/images/b/bc/每回合回复.png,257,16,2,26,1254
86,5,★★★★★,化为红莲的影之国,化为红莲的影之国,,12,400,1600,250,1000,付与自身伤害附加状态(每回合+100·最大+1000),付与自身伤害附加状态(每回合+100·最大+1200)[最大解放],/images/7/7d/礼装086.jpg,/images/3/3a/特攻.png,257,32,8,1072,1179
87,4,★★★★,概念礼装EXP卡：谜之物质α,概念礼装EXP卡：谜之物质α,,9,0,0,0,0,提供30000点概念礼装经验值,无效果,/images/7/75/礼装087.jpg,/images/d/d7/空白效果.png,32,16,1,27,3
88,3,★★★,概念礼装EXP卡：谜之物质β,概念礼装EXP卡：谜之物质β,,5,0,0,0,0,提供18000点概念礼装经验值,无效果,/images/5/5c/礼装088.jpg,/images/d/d7/空白效果.png,32,8,1,28,4
89,3,★★★,柳洞寺,柳洞寺,,5,160,800,100,500,自身的宝具威力提升10%＆以NP已达20%的状态开始战斗,自身的宝具威力提升15%＆以NP已达30%的状态开始战斗[最大解放],/images/9/9a/礼装089.jpg,/images/d/d9/宝具威力提升.png,64,8,8,956,1043
90,3,★★★,魔力计,魔力计,,5,0,0,200,1000,付与自身对〔Caster〕职阶8%的特攻状态,付与自身对〔Caster〕职阶10%的特攻状态[最大解放],/images/5/5d/礼装090.jpg,/images/3/3a/特攻.png,64,8,4,1073,334
91,3,★★★,爱之灵药,爱之灵药,,5,160,800,100,500,自身的魅惑付与成功率提升12%,自身的魅惑付与成功率提升15%[最大解放],/images/a/a3/礼装091.jpg,/images/4/46/魅惑.png,64,8,8,957,1044
92,3,★★★,白鹳骑士,白鹳骑士,,5,0,0,200,1000,〔Berserker〕职阶装备时，宝具威力提升15%,〔Berserker〕职阶装备时，宝具威力提升25%[最大解放],/images/4/40/礼装092.jpg,/images/d/d9/宝具威力提升.png,64,8,4,1074,335
93,3,★★★,阿兰若,阿兰若,,5,0,0,200,1000,自身的Arts指令卡性能提升15%(3回合),自身的Arts指令卡性能提升20%(3回合)[最大解放],/images/9/93/礼装093.jpg,/images/0/03/蓝放.png,64,8,4,1075,336
94,3,★★★,摩托・装甲骑兵,摩托·装甲骑兵,,5,0,0,200,1000,付与自身对〔Rider〕职阶8%的特攻状态,付与自身对〔Rider〕职阶10%的特攻状态[最大解放],/images/a/ab/礼装094.jpg,/images/3/3a/特攻.png,64,8,4,1076,337
95,3,★★★,狮子玩偶,狮子玩偶,,5,300,1500,0,0,自身战败退场时，己方全体HP回复800,自身战败退场时，己方全体HP回复1000[最大解放],/images/d/d4/礼装095.jpg,/images/4/4e/回血.png,64,8,2,29,1139
96,3,★★★,鲁格的光环,鲁格的光环,,5,300,1500,0,0,自身的晕眩耐性提升25%,自身的晕眩耐性提升30%[最大解放],/images/5/56/礼装096.jpg,/images/6/6c/弱化耐性提升.png,64,8,2,30,1140
97,5,★★★★★,圣者凭依之躯,圣者凭依之躯,,12,400,1600,250,1000,付与自身弱化无效状态(3次)＆NP获得量提升15%,付与自身弱化无效状态(3次)＆NP获得量提升20%[最大解放],/images/a/a3/礼装097.jpg,/images/6/6c/弱化耐性提升.png,64,32,8,1077,1180
98,4,★★★★,千年黄金树,千年黄金树,,9,600,2250,0,0,付与自身每回合最大HP上升效果(每回合+200·最大+3000),付与自身每回合最大HP上升效果(每回合+300·最大+3000)[最大解放],/images/6/6b/礼装098.jpg,/images/5/50/血量上升.png,64,16,2,31,1255
99,4,★★★★,英灵肖像：玛修・基列莱特,英灵肖像：玛修·基列莱特,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/2/2c/礼装099.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,958,1025
100,4,★★★★,英灵肖像：阿尔托莉雅・潘德拉贡,英灵肖像：阿尔托莉雅·潘德拉贡,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/6/67/礼装100.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,959,1026
101,4,★★★★,英灵肖像：贞德,英灵肖像：贞德,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/d/d8/礼装101.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,960,1027
102,4,★★★★,英灵肖像：阿蒂拉,英灵肖像：阿蒂拉,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/8/8c/礼装102.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,961,1028
103,4,★★★★,英灵肖像：阿周那,英灵肖像：阿周那,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/4/48/礼装103.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,962,1029
104,4,★★★★,英灵肖像：斯卡哈,英灵肖像：斯卡哈,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/0/08/礼装104.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,963,1030
105,4,★★★★,英灵肖像：牛若丸,英灵肖像：牛若丸,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/4/4d/礼装105.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,964,1031
106,4,★★★★,英灵肖像：亨利・杰基尔＆海德,英灵肖像：亨利·杰基尔＆海德,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/f/f6/礼装106.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,965,1032
107,4,★★★★,英灵肖像：梅菲斯托费勒斯,英灵肖像：梅菲斯托费勒斯,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/1/1b/礼装107.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,966,1033
108,4,★★★★,英灵肖像：大流士三世,英灵肖像：大流士三世,,5,500,500,500,500,关卡通关时获得的羁绊点数增加50,,/images/3/31/礼装108.jpg,/images/c/c1/羁绊获得量提升.png,16,16,8,967,1034
109,3,★★★,泪之情人节道场,泪之情人节道场,,5,0,0,200,1000,付与自身必中状态＆每回合NP获得3%的状态＆魅惑耐性下降10%【负面效果】,付与自身必中状态＆每回合NP获得5%的状态[最大解放]＆魅惑耐性下降10%【负面效果】,/images/a/ab/礼装109.jpg,/images/9/90/必中.png,257,8,4,1078,338
110,4,★★★★,厨房☆糕点师,厨房☆糕点师,,9,320,1200,200,750,自身的暴击星掉落率提升15%＆NP获得量提升15%,自身的暴击星掉落率提升20%＆NP获得量提升20%[最大解放],/images/d/d6/礼装110.jpg,/images/6/63/掉星率增加.png,257,16,8,1002,1078
